#  an         x(")        x_er(")     y(")        y_er(")    UT1-TAI(s)  UT1_er(s)    dPsi(")     dPsi_er(")  dEps(")     dEps_er(")
   1902.85   -0.023228    0.019348   -0.094470    0.020127  -0.0001848   0.0000000    0.248134    0.000000    0.016478    0.000000
   1902.90   -0.068752    0.023281   -0.091415    0.020613   0.0002385   0.0000000    0.248844    0.000000    0.017394    0.000000
   1902.95   -0.132468    0.023706   -0.035296    0.023618  -0.0000632   0.0000000    0.250200    0.000000    0.018154    0.000000
   1903.00   -0.185184    0.023738    0.006109    0.023274  -0.0001260   0.0000000    0.250340    0.000000    0.018100    0.000000
   1903.05   -0.222685    0.024857    0.044238    0.022844   0.0003034   0.0000000    0.249936    0.000000    0.018224    0.000000
   1903.10   -0.234175    0.019911    0.065802    0.021456  -0.0001958   0.0000000    0.249733    0.000000    0.017623    0.000000
   1903.15   -0.212128    0.022848    0.130015    0.023476  -0.0000483   0.0000000    0.250178    0.000000    0.016414    0.000000
   1903.20   -0.175219    0.023818    0.192066    0.022813   0.0001373   0.0000000    0.250687    0.000000    0.015273    0.000000
   1903.25   -0.171262    0.020150    0.183798    0.020688  -0.0000849   0.0000000    0.251303    0.000000    0.014422    0.000000
   1903.30   -0.138072    0.021348    0.226383    0.018852  -0.0000538   0.0000000    0.251880    0.000000    0.013748    0.000000
   1903.35   -0.049043    0.019374    0.282006    0.017306   0.0001655   0.0000000    0.251655    0.000000    0.013940    0.000000
   1903.40    0.001256    0.019149    0.249463    0.021023  -0.0000557   0.0000000    0.250114    0.000000    0.013573    0.000000
   1903.45    0.052820    0.018423    0.270779    0.019673  -0.0001273   0.0000000    0.248069    0.000000    0.013785    0.000000
   1903.50    0.081237    0.016134    0.254354    0.017305   0.0002647   0.0000000    0.244856    0.000000    0.014410    0.000000
   1903.55    0.148613    0.017930    0.236620    0.018797  -0.0001967   0.0000000    0.241534    0.000000    0.014467    0.000000
   1903.60    0.183189    0.015992    0.189003    0.018216  -0.0000917   0.0000000    0.239591    0.000000    0.014642    0.000000
   1903.65    0.219394    0.015080    0.103988    0.017657   0.0002384   0.0000000    0.237146    0.000000    0.014854    0.000000
   1903.70    0.213272    0.020310    0.081584    0.021653  -0.0001580   0.0000000    0.236906    0.000000    0.014642    0.000000
   1903.75    0.185047    0.018175   -0.008995    0.021927   0.0000170   0.0000000    0.238261    0.000000    0.014763    0.000000
   1903.80    0.148762    0.021924   -0.061858    0.017110   0.0002016   0.0000000    0.239356    0.000000    0.015993    0.000000
   1903.85    0.127475    0.024639   -0.108054    0.022898  -0.0001052   0.0000000    0.241287    0.000000    0.016540    0.000000
   1903.90    0.089355    0.027681   -0.098406    0.021111  -0.0001567   0.0000000    0.243467    0.000000    0.017307    0.000000
   1903.95    0.011776    0.029391   -0.093809    0.023484   0.0001224   0.0000000    0.243380    0.000000    0.018197    0.000000
   1904.00   -0.076482    0.029480   -0.075248    0.026065  -0.0001424   0.0000000    0.243821    0.000000    0.018652    0.000000
   1904.05   -0.134539    0.026092   -0.079093    0.023420  -0.0000682   0.0000000    0.244006    0.000000    0.018345    0.000000
   1904.10   -0.172274    0.024167   -0.026546    0.021363   0.0002833   0.0000000    0.243536    0.000000    0.018187    0.000000
